titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive,titleId,title,language,averageRating,numVotes,primaryName,birthYear,deathYear
french exit,azazel jacobs,Same Player,75012,2019-12-04,2019-12-04,48.85006697622016,2.376518535230019,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75001,2018-11-05,2018-11-06,48.86574411603937,2.327446234271997,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-14,2018-11-14,48.87865523757628,2.370574346439601,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-03,2018-12-06,48.87988846874771,2.345638651005026,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-06,2018-12-06,48.88137903008482,2.340902040775606,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-25,2017-08-26,48.83864104297332,2.424324762521703,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
tout le monde debout,franck dubosc,,75008,2017-09-13,2017-09-13,48.866699494682805,2.320534842202644,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75116,2017-07-17,2017-07-18,48.86005390194775,2.285130544247642,couronne,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
french exit,azazel jacobs,Same Player,75012,2019-12-05,2019-12-05,48.84928801148431,2.378252384526064,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75010,2017-05-19,2017-05-19,48.87403456783542,2.372645090554292,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75005,2017-07-21,2017-07-22,48.84516843702975,2.34507568384122,gauche,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-08-04,2017-08-04,48.86534822720272,2.374386045127562,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-02-15,2018-02-15,48.87770895742678,2.303979242393096,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75016,2016-03-04,2016-03-04,48.84497699981972,2.266669999394985,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
french exit,azazel jacobs,Same Player,75003,2019-12-03,2019-12-03,48.85686464771176,2.366019922322266,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
overdrive,antonio negret,OVERDRIVE PRODUCTIONS,75007,2016-02-29,2016-02-29,48.85888099966902,2.322649000194077,gauche,tt5039860,overdrive,\N,5.3,14854.0,Antonio Negret,1982.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-11-21,2018-11-23,48.87988846874771,2.345638651005026,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-06,2018-12-06,48.87987362352485,2.345558538588732,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75019,2017-08-24,2017-08-25,48.87651468447708,2.39320876419557,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-21,2017-08-21,48.847926718761954,2.394315368762931,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
madame,amanda sthers,LGM FILMS,75004,2016-07-22,2016-07-22,48.85855999969623,2.357017000210257,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-13,2018-11-14,48.882003341860646,2.370537847808934,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-09-01,2017-09-01,48.855867206532814,2.3915639529289763,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75009,2016-02-22,2016-02-23,48.87015000025449,2.328350999399197,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75004,2017-07-19,2017-07-20,48.85338002476293,2.347223775719236,droite,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75001,2017-07-20,2017-07-21,48.86613261585021,2.338563568107062,droite,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75017,2018-10-17,2018-10-17,48.89211274835107,2.300649100978518,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
french exit,azazel jacobs,Same Player,75012,2019-12-07,2019-12-07,48.85006697622016,2.376518535230019,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75010,2018-11-14,2018-11-14,48.88415790913735,2.364823514120944,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-05,2018-12-05,48.87988846874771,2.345638651005026,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-11,2018-12-12,48.87408217450692,2.347481058874771,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-09-23,2017-09-24,48.84526539107678,2.376171086723305,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
tout le monde debout,franck dubosc,GAUMONT CHEZ GAUMONT PRODUCTION,75007,2017-09-14,2017-09-14,48.85834554312481,2.293904641831054,gauche,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75015,2017-12-17,2017-12-17,48.849805575943066,2.29598231370717,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75001,2016-03-09,2016-03-09,48.86396100001586,2.33259899970498,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75015,2017-08-03,2017-08-03,48.83269332250987,2.300440563034816,gauche,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-04,2017-08-04,48.83668011280243,2.403498861422531,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75004,2019-08-27,2019-08-28,48.85543077624018,2.355342587812206,droite,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
french exit,azazel jacobs,Same Player,75008,2019-12-06,2019-12-06,48.87733966671764,2.308153497134342,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75002,2018-12-18,2018-12-19,48.865850888958455,2.346532092798297,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75016,2018-12-10,2018-12-10,48.84523855757465,2.258147587811679,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75016,2017-06-02,2017-06-02,48.84748685358608,2.259028473199226,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
overdrive,antonio negret,OVERDRIVE PRODUCTIONS,75001,2016-03-01,2016-03-01,48.869302999820455,2.32783700009425,droite,tt5039860,overdrive,\N,5.3,14854.0,Antonio Negret,1982.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75016,2016-03-21,2016-03-21,48.84706900015045,2.272921000011528,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-08-10,2017-08-10,48.85889450606615,2.379097275755658,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75013,2017-08-08,2017-08-08,48.84093156507914,2.363006496554987,gauche,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-02-14,2018-02-15,48.87770895742678,2.303979242393096,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
french exit,azazel jacobs,Same Player,75004,2019-12-07,2019-12-07,48.85230975511764,2.365790647782811,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
french exit,azazel jacobs,Same Player,75004,2019-12-03,2019-12-03,48.85633347058436,2.364905068353257,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75016,2018-09-26,2018-09-26,48.8531530592884,2.279908299713365,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-03,2018-12-03,48.87978439577261,2.345787998072073,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-19,2018-11-19,48.89110457145292,2.374166055169427,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75009,2016-03-29,2016-03-30,48.87838799962874,2.330062000543677,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
le petit spirou,nicolas bary,LES FILMS DU CAP,75015,2016-08-11,2016-08-11,48.836429999836646,2.297706000423729,gauche,tt5039860,le petit spirou,\N,4.8,399.0,Nicolas Bary,1980.0,3000.0
french exit,azazel jacobs,Same Player,75010,2019-12-03,2019-12-03,48.87319998571612,2.360227892710153,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75008,2017-05-24,2017-05-24,48.87721229780744,2.303759678812939,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75005,2017-07-18,2017-07-19,48.84641354488329,2.3422178284486,gauche,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75001,2018-10-01,2018-10-01,48.86243397556116,2.348514362233832,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
madame,amanda sthers,LGM FILMS,75018,2016-08-30,2016-08-30,48.88648600036184,2.333111000409865,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
madame,amanda sthers,LGM FILMS,75017,2016-07-20,2016-07-20,48.87553900015484,2.29447800050035,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75018,2016-03-18,2016-03-18,48.88689399986429,2.336988000573584,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-14,2018-11-17,48.88991978534438,2.395599124859501,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
overdrive,antonio negret,OVERDRIVE PRODUCTIONS,75015,2016-01-07,2016-01-07,48.854648999836606,2.288997999636491,gauche,tt5039860,overdrive,\N,5.3,14854.0,Antonio Negret,1982.0,3000.0
tout le monde debout,franck dubosc,,75015,2017-09-13,2017-09-13,48.85400383649973,2.287815409681481,gauche,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75010,2018-11-14,2018-11-14,48.88419426922013,2.363986688482107,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75116,2017-07-17,2017-07-17,48.86005390194775,2.285130544247642,couronne,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-02-16,2018-02-16,48.87352799926697,2.31419491506178,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-03-06,2018-03-08,48.87536845443363,2.303599091334641,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75006,2018-03-14,2018-03-17,48.84997161806543,2.339009991428072,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
french exit,azazel jacobs,Same Player,75010,2019-12-03,2019-12-03,48.87227987746862,2.364110439295902,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75002,2017-07-16,2017-07-16,48.86619449575388,2.350802982642443,droite,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75007,2019-08-08,2019-08-10,48.85445424027839,2.321759109369753,gauche,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75011,2018-11-13,2018-11-13,48.86333215536014,2.372558764618173,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75007,2019-09-06,2019-09-07,48.854343503245744,2.322175056079694,gauche,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75011,2018-12-13,2018-12-13,48.86834491171873,2.379270924825028,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
remember me,martin rosete,F COMME FILM,75018,2018-11-05,2018-11-07,48.88337996813191,2.342473476086469,droite,tt5039860,remember me,\N,5.7,440.0,Martín Rosete,1980.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75002,2019-07-24,2019-07-26,48.87073551331155,2.337889737874896,droite,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75016,2017-07-17,2017-07-17,48.85875547014195,2.286392367681818,droite,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75019,2017-05-16,2017-05-16,48.899589118985816,2.387661261196787,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-28,2017-08-29,48.84063755628543,2.434460992289245,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
madame,amanda sthers,LGM FILMS,75001,2016-08-29,2016-08-29,48.86671299974089,2.336797000112178,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75010,2017-08-05,2017-08-05,48.87462374953768,2.361365941594592,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-14,2018-11-14,48.89141462643416,2.3847286008429123,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75016,2018-02-06,2018-02-06,48.85439567651465,2.2815716585752392,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75010,2017-06-06,2017-06-06,48.87159865715195,2.365586835217926,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75017,2018-12-21,2018-12-21,48.883249966111634,2.315723875243517,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
madame,amanda sthers,LGM FILMS,75016,2016-08-15,2016-08-15,48.87016000012336,2.27676200020999,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75015,2016-03-17,2016-03-17,48.83290099984615,2.286803000311059,gauche,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
le petit spirou,nicolas bary,LES FILMS DU CAP,75001,2016-09-08,2016-09-08,48.86395999975135,2.332365000484366,droite,tt5039860,le petit spirou,\N,4.8,399.0,Nicolas Bary,1980.0,3000.0
